label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,7]
112.c5	[0,-1,0,-8,-16]	4 0 1
112.c6	[0,-1,0,72,368]	4 0 1
126.a1	[1,-1,0,-12096,-509036]	1 2 1
126.a2	[1,-1,0,-8226,286474]	1 2 1
126.a3	[1,-1,0,-936,-3668]	1 2 1
126.a4	[1,-1,0,-756,-7808]	1 2 1
126.a5	[1,-1,0,-36,-176]	1 2 1
126.a6	[1,-1,0,3474,-31010]	1 2 1
126.b1	[1,-1,1,-24575,1488935]	1 2 1
126.b2	[1,-1,1,-1535,23591]	1 2 1
126.b3	[1,-1,1,-320,1883]	1 2 1
126.b4	[1,-1,1,-95,-331]	1 2 1
126.b5	[1,-1,1,-5,-7]	1 2 1
126.b6	[1,-1,1,40,155]	1 2 1
128.a1	[0,1,0,-9,7]	7 0 0
128.a2	[0,1,0,1,1]	7 0 0
128.b1	[0,1,0,-2,-2]	7 0 0
128.b2	[0,1,0,3,-5]	7 0 0
128.c1	[0,-1,0,-9,-7]	7 0 0
128.c2	[0,-1,0,1,-1]	7 0 0
128.d1	[0,-1,0,-2,2]	7 0 0
128.d2	[0,-1,0,3,5]	7 0 0
144.a1	[0,0,0,-135,594]	4 2 0
144.a2	[0,0,0,-15,-22]	4 2 0
144.a3	[0,0,0,0,-1]	4 2 0
144.a4	[0,0,0,0,27]	4 2 0
144.b1	[0,0,0,-3459,-78302]	4 2 0
144.b2	[0,0,0,-579,5362]	4 2 0
144.b3	[0,0,0,-219,-1190]	4 2 0
144.b4	[0,0,0,-39,70]	4 2 0
144.b5	[0,0,0,6,7]	4 2 0
144.b6	[0,0,0,141,-4718]	4 2 0
147.a1	[1,1,1,-38417,2882228]	0 1 2
147.a2	[1,1,1,-2402,44246]	0 1 2
147.a3	[1,1,1,-1912,-32782]	0 1 2
147.a4	[1,1,1,-1667,72764]	0 1 2
147.a5	[1,1,1,-197,146]	0 1 2
147.a6	[1,1,1,48,48]	0 1 2
147.b1	[0,-1,1,-912,10919]	0 1 2
147.b2	[0,-1,1,-2,-1]	0 1 2
147.c1	[0,1,1,-44704,-3655907]	0 1 2
147.c2	[0,1,1,-114,473]	0 1 2
162.a1	[1,-1,0,-6,8]	1 4 0
162.a2	[1,-1,0,39,-19]	1 4 0
162.b1	[1,-1,0,-1077,13877]	1 4 0
162.b2	[1,-1,0,-852,19664]	1 4 0
162.b3	[1,-1,0,-42,-100]	1 4 0
162.b4	[1,-1,0,3,-1]	1 4 0
162.c1	[1,-1,1,-9695,-364985]	1 4 0
162.c2	[1,-1,1,-95,-697]	1 4 0
162.c3	[1,-1,1,-5,5]	1 4 0
162.c4	[1,-1,1,25,1]	1 4 0
162.d1	[1,-1,1,-56,-161]	1 4 0
162.d2	[1,-1,1,4,-1]	1 4 0
168.a1	[0,-1,0,-4032,99900]	3 1 1
168.a2	[0,-1,0,-392,-228]	3 1 1
168.a3	[0,-1,0,-252,1620]	3 1 1
168.a4	[0,-1,0,-7,52]	3 1 1
168.b1	[0,1,0,-152,672]	3 1 1
168.b2	[0,1,0,-12,0]	3 1 1
168.b3	[0,1,0,-7,-10]	3 1 1
168.b4	[0,1,0,48,48]	3 1 1
189.a1	[0,0,1,-3,0]	0 3 1
189.b1	[0,0,1,-3834,-91375]	0 3 1
189.b2	[0,0,1,-54,-88]	0 3 1
189.b3	[0,0,1,-24,45]	0 3 1
189.c1	[0,0,1,-426,3384]	0 3 1
189.c2	[0,0,1,-216,-1222]	0 3 1
189.c3	[0,0,1,-6,3]	0 3 1
189.d1	[0,0,1,-27,-7]	0 3 1
192.a1	[0,-1,0,-129,609]	6 1 0
192.a2	[0,-1,0,-9,9]	6 1 0
192.a3	[0,-1,0,-4,-2]	6 1 0
192.a4	[0,-1,0,31,33]	6 1 0
192.b1	[0,-1,0,-1537,23713]	6 1 0
192.b2	[0,-1,0,-257,-1503]	6 1 0
192.b3	[0,-1,0,-97,385]	6 1 0
192.b4	[0,-1,0,-17,-15]	6 1 0
192.b5	[0,-1,0,3,-3]	6 1 0
192.b6	[0,-1,0,63,1377]	6 1 0
192.c1	[0,1,0,-129,-609]	6 1 0
192.c2	[0,1,0,-9,-9]	6 1 0
192.c3	[0,1,0,-4,2]	6 1 0
192.c4	[0,1,0,31,-33]	6 1 0
192.d1	[0,1,0,-1537,-23713]	6 1 0
192.d2	[0,1,0,-257,1503]	6 1 0
192.d3	[0,1,0,-97,-385]	6 1 0
192.d4	[0,1,0,-17,15]	6 1 0
192.d5	[0,1,0,3,3]	6 1 0
192.d6	[0,1,0,63,-1377]	6 1 0
196.a1	[0,-1,0,-142,701]	2 0 2
196.a2	[0,-1,0,-2,1]	2 0 2
196.b1	[0,1,0,-6974,-226507]	2 0 2
196.b2	[0,1,0,-114,-127]	2 0 2
216.a1	[0,0,0,-12,20]	3 3 0
216.b1	[0,0,0,-3,-34]	3 3 0
216.c1	[0,0,0,-27,918]	3 3 0
216.d1	[0,0,0,-108,-540]	3 3 0
224.a1	[0,1,0,-8,-8]	5 0 1
224.a2	[0,1,0,2,0]	5 0 1
224.b1	[0,-1,0,-8,8]	5 0 1
224.b2	[0,-1,0,2,0]	5 0 1
243.a1	[0,0,1,0,-1]	0 5 0
243.a2	[0,0,1,0,20]	0 5 0
243.b1	[0,0,1,0,-61]	0 5 0
243.b2	[0,0,1,0,2]	0 5 0
252.a1	[0,0,0,-327,2270]	2 2 1
252.a2	[0,0,0,-12,65]	2 2 1
252.b1	[0,0,0,-16455,812446]	2 2 1
252.b2	[0,0,0,-1020,12913]	2 2 1
252.b3	[0,0,0,-255,502]	2 2 1
252.b4	[0,0,0,60,61]	2 2 1
256.a1	[0,1,0,-13,-21]	8 0 0
256.a2	[0,1,0,-3,1]	8 0 0
256.b1	[0,0,0,-2,0]	8 0 0
256.b2	[0,0,0,8,0]	8 0 0
256.c1	[0,0,0,-8,0]	8 0 0
256.c2	[0,0,0,2,0]	8 0 0
256.d1	[0,-1,0,-13,21]	8 0 0
256.d2	[0,-1,0,-3,-1]	8 0 0
288.a1	[0,0,0,-12,0]	5 2 0
288.a2	[0,0,0,3,0]	5 2 0
288.b1	[0,0,0,-291,-1910]	5 2 0
288.b2	[0,0,0,-156,736]	5 2 0
288.b3	[0,0,0,-21,-20]	5 2 0
288.b4	[0,0,0,69,-146]	5 2 0
288.c1	[0,0,0,-291,1910]	5 2 0
288.c2	[0,0,0,-156,-736]	5 2 0
288.c3	[0,0,0,-21,20]	5 2 0
288.c4	[0,0,0,69,146]	5 2 0
288.d1	[0,0,0,-99,-378]	5 2 0
288.d2	[0,0,0,-99,378]	5 2 0
288.d3	[0,0,0,-9,0]	5 2 0
288.d4	[0,0,0,36,0]	5 2 0
288.e1	[0,0,0,-108,0]	5 2 0
288.e2	[0,0,0,27,0]	5 2 0
294.a1	[1,1,0,-34864,2503936]	1 1 2
294.a2	[1,1,0,1151,18901]	1 1 2
294.b1	[1,1,0,-6738,-209880]	1 1 2
294.b2	[1,1,0,122,-10940]	1 1 2
294.c1	[1,0,1,-138,592]	1 1 2
294.c2	[1,0,1,2,32]	1 1 2
294.d1	[1,0,1,-712,-7402]	1 1 2
294.d2	[1,0,1,23,-52]	1 1 2
294.e1	[1,1,1,-6910,-232261]	1 1 2
294.e2	[1,1,1,-50,293]	1 1 2
294.f1	[1,0,0,-141,657]	1 1 2
294.f2	[1,0,0,-1,-1]	1 1 2
294.g1	[1,0,0,-65857,-6510547]	1 1 2
294.g2	[1,0,0,-44787,3609423]	1 1 2
294.g3	[1,0,0,-5097,-49995]	1 1 2
294.g4	[1,0,0,-4117,-101935]	1 1 2
294.g5	[1,0,0,-197,-2367]	1 1 2
294.g6	[1,0,0,18913,-381333]	1 1 2
324.a1	[0,0,0,-189,-999]	2 4 0
324.a2	[0,0,0,-9,9]	2 4 0
324.b1	[0,0,0,-39,94]	2 4 0
324.b2	[0,0,0,81,486]	2 4 0
324.c1	[0,0,0,-81,-243]	2 4 0
324.c2	[0,0,0,-21,37]	2 4 0
324.d1	[0,0,0,-351,-2538]	2 4 0
324.d2	[0,0,0,9,-18]	2 4 0
336.a1	[0,-1,0,-12544,544960]	4 1 1
336.a2	[0,-1,0,-784,8704]	4 1 1
336.a3	[0,-1,0,-624,-5760]	4 1 1
336.a4	[0,-1,0,-544,13888]	4 1 1
336.a5	[0,-1,0,-64,64]	4 1 1
336.a6	[0,-1,0,16,0]	4 1 1
336.b1	[0,-1,0,-1828,30700]	4 1 1
336.b2	[0,-1,0,-113,516]	4 1 1
336.b3	[0,-1,0,-28,28]	4 1 1
336.b4	[0,-1,0,7,0]	4 1 1
336.c1	[0,-1,0,-152,-672]	4 1 1
336.c2	[0,-1,0,-12,0]	4 1 1
336.c3	[0,-1,0,-7,10]	4 1 1
336.c4	[0,-1,0,48,-48]	4 1 1
336.d1	[0,1,0,-21504,-1220940]	4 1 1
336.d2	[0,1,0,-14624,669300]	4 1 1
336.d3	[0,1,0,-1664,-9804]	4 1 1
336.d4	[0,1,0,-1344,-19404]	4 1 1
336.d5	[0,1,0,-64,-460]	4 1 1
336.d6	[0,1,0,6176,-69388]	4 1 1
336.e1	[0,1,0,-4032,-99900]	4 1 1
336.e2	[0,1,0,-392,228]	4 1 1
336.e3	[0,1,0,-252,-1620]	4 1 1
336.e4	[0,1,0,-7,-52]	4 1 1
336.f1	[0,1,0,-36,72]	4 1 1
336.f2	[0,1,0,-1,2]	4 1 1
378.a1	[1,-1,0,441,-1571]	1 3 1
378.b1	[1,-1,0,-141,681]	1 3 1
378.b2	[1,-1,0,-96,1088]	1 3 1
378.b3	[1,-1,0,849,-25939]	1 3 1
378.c1	[1,-1,0,0,4]	1 3 1
378.d1	[1,-1,0,-1062,13590]	1 3 1
378.d2	[1,-1,0,-12,24]	1 3 1
378.d3	[1,-1,0,93,-235]	1 3 1
378.e1	[1,-1,1,-9560,-357371]	1 3 1
378.e2	[1,-1,1,-110,-539]	1 3 1
378.e3	[1,-1,1,10,5]	1 3 1
378.f1	[1,-1,1,-2,-107]	1 3 1
378.g1	[1,-1,1,-1271,-17117]	1 3 1
378.g2	[1,-1,1,-11,-37]	1 3 1
378.g3	[1,-1,1,94,929]	1 3 1
378.h1	[1,-1,1,3967,38449]	1 3 1
384.a1	[0,-1,0,-35,-69]	7 1 0
384.a2	[0,-1,0,-25,-119]	7 1 0
384.b1	[0,-1,0,-3,3]	7 1 0
384.b2	[0,-1,0,7,9]	7 1 0
384.c1	[0,-1,0,-13,-11]	7 1 0
384.c2	[0,-1,0,2,-2]	7 1 0
384.d1	[0,-1,0,-141,693]	7 1 0
384.d2	[0,-1,0,-6,18]	7 1 0
384.e1	[0,1,0,-35,69]	7 1 0
384.e2	[0,1,0,-25,119]	7 1 0
384.f1	[0,1,0,-13,11]	7 1 0
384.f2	[0,1,0,2,2]	7 1 0
384.g1	[0,1,0,-3,-3]	7 1 0
384.g2	[0,1,0,7,-9]	7 1 0
384.h1	[0,1,0,-141,-693]	7 1 0
384.h2	[0,1,0,-6,-18]	7 1 0
392.a1	[0,0,0,-7,7]	3 0 2
392.b1	[0,1,0,-1976,32752]	3 0 2
392.b2	[0,1,0,-16,1392]	3 0 2
392.c1	[0,-1,0,-16,29]	3 0 2
392.d1	[0,0,0,-14651,-682570]	3 0 2
392.d2	[0,0,0,-2891,47334]	3 0 2
392.d3	[0,0,0,-931,-10290]	3 0 2
392.d4	[0,0,0,49,-686]	3 0 2
392.e1	[0,1,0,-800,-8359]	3 0 2
392.f1	[0,0,0,-343,-2401]	3 0 2
432.a1	[0,0,0,-12,-20]	4 3 0
432.b1	[0,0,0,-459,3834]	4 3 0
432.b2	[0,0,0,-219,-1654]	4 3 0
432.b3	[0,0,0,21,26]	4 3 0
432.c1	[0,0,0,-3,34]	4 3 0
432.d1	[0,0,0,0,-4]	4 3 0
432.d2	[0,0,0,0,108]	4 3 0
432.e1	[0,0,0,-4320,109296]	4 3 0
432.e2	[0,0,0,-480,-4048]	4 3 0
432.e3	[0,0,0,0,-16]	4 3 0
432.e4	[0,0,0,0,432]	4 3 0
432.f1	[0,0,0,-27,-918]	4 3 0
432.g1	[0,0,0,-1971,44658]	4 3 0
432.g2	[0,0,0,-51,-142]	4 3 0
432.g3	[0,0,0,189,-702]	4 3 0
432.h1	[0,0,0,-108,540]	4 3 0
441.a1	[0,0,1,-8211,-286610]	0 2 2
441.a2	[0,0,1,-21,40]	0 2 2
441.b1	[0,0,1,-402339,98307144]	0 2 2
441.b2	[0,0,1,-1029,-13806]	0 2 2
441.c1	[1,-1,1,-16400,-804212]	0 2 2
441.c2	[1,-1,1,-965,-13940]	0 2 2
441.c3	[1,-1,1,-335,2440]	0 2 2
441.c4	[1,-1,1,-20,46]	0 2 2
441.d1	[0,0,1,0,-331]	0 2 2
441.d2	[0,0,1,0,12]	0 2 2
441.e1	[0,0,1,0,-4202]	0 2 2
441.e2	[0,0,1,0,113447]	0 2 2
441.f1	[1,-1,0,-345753,-78165914]	0 2 2
441.f2	[1,-1,0,-21618,-1216265]	0 2 2
441.f3	[1,-1,0,-17208,867901]	0 2 2
441.f4	[1,-1,0,-15003,-1979636]	0 2 2
441.f5	[1,-1,0,-1773,-5720]	0 2 2
441.f6	[1,-1,0,432,-869]	0 2 2
448.a1	[0,1,0,-174753,28059871]	6 0 1
448.a2	[0,1,0,-10913,436447]	6 0 1
448.a3	[0,1,0,-2273,33439]	6 0 1
448.a4	[0,1,0,-673,-6945]	6 0 1
448.a5	[0,1,0,-33,-161]	6 0 1
448.a6	[0,1,0,287,3231]	6 0 1
448.b1	[0,1,0,-33,31]	6 0 1
448.b2	[0,1,0,7,7]	6 0 1
448.c1	[0,1,0,-161,-833]	6 0 1
448.c2	[0,1,0,-1,-33]	6 0 1
448.d1	[0,0,0,-1196,15920]	6 0 1
448.d2	[0,0,0,-236,-1104]	6 0 1
448.d3	[0,0,0,-76,240]	6 0 1
448.d4	[0,0,0,4,16]	6 0 1
448.e1	[0,0,0,-1196,-15920]	6 0 1
448.e2	[0,0,0,-236,1104]	6 0 1
448.e3	[0,0,0,-76,-240]	6 0 1
448.e4	[0,0,0,4,-16]	6 0 1
448.f1	[0,-1,0,-33,-31]	6 0 1
448.f2	[0,-1,0,7,-7]	6 0 1
448.g1	[0,-1,0,-174753,-28059871]	6 0 1
448.g2	[0,-1,0,-10913,-436447]	6 0 1
448.g3	[0,-1,0,-2273,-33439]	6 0 1
448.g4	[0,-1,0,-673,6945]	6 0 1
448.g5	[0,-1,0,-33,161]	6 0 1
448.g6	[0,-1,0,287,-3231]	6 0 1
448.h1	[0,-1,0,-161,833]	6 0 1
448.h2	[0,-1,0,-1,33]	6 0 1
486.a1	[1,-1,0,-96,386]	1 5 0
486.a2	[1,-1,0,-6,-4]	1 5 0
486.b1	[1,-1,0,-177,953]	1 5 0
486.b2	[1,-1,0,3,5]	1 5 0
486.c1	[1,-1,0,-258,-748]	1 5 0
486.c2	[1,-1,0,-123,557]	1 5 0
486.d1	[1,-1,1,-1109,-13931]	1 5 0
486.d2	[1,-1,1,-29,37]	1 5 0
486.e1	[1,-1,1,-20,-29]	1 5 0
486.e2	[1,-1,1,25,-161]	1 5 0
486.f1	[1,-1,1,-56,163]	1 5 0
486.f2	[1,-1,1,-11,-11]	1 5 0
504.a1	[0,0,0,-111,450]	3 2 1
504.a2	[0,0,0,-6,9]	3 2 1
504.b1	[0,0,0,-1371,-19514]	3 2 1
504.b2	[0,0,0,-111,-110]	3 2 1
504.b3	[0,0,0,-66,205]	3 2 1
504.b4	[0,0,0,429,-866]	3 2 1
504.c1	[0,0,0,-2691,-53730]	3 2 1
504.c2	[0,0,0,-531,3726]	3 2 1
504.c3	[0,0,0,-171,-810]	3 2 1
504.c4	[0,0,0,9,-54]	3 2 1
504.d1	[0,0,0,-6,5]	3 2 1
504.d2	[0,0,0,9,26]	3 2 1
504.e1	[0,0,0,-36291,-2661010]	3 2 1
504.e2	[0,0,0,-3531,9686]	3 2 1
504.e3	[0,0,0,-2271,-41470]	3 2 1
504.e4	[0,0,0,-66,-1339]	3 2 1
504.f1	[0,0,0,-999,-12150]	3 2 1
504.f2	[0,0,0,-54,-243]	3 2 1
504.g1	[0,0,0,-54,-135]	3 2 1
504.g2	[0,0,0,81,-702]	3 2 1
504.h1	[0,0,0,-363,2630]	3 2 1
504.h2	[0,0,0,-3,110]	3 2 1
567.a1	[1,-1,1,-2,82]	0 4 1
567.b1	[1,-1,0,0,-3]	0 4 1
576.a1	[0,0,0,-27,0]	6 2 0
576.a2	[0,0,0,108,0]	6 2 0
576.b1	[0,0,0,-13836,-626416]	6 2 0
576.b2	[0,0,0,-2316,42896]	6 2 0
576.b3	[0,0,0,-876,-9520]	6 2 0
576.b4	[0,0,0,-156,560]	6 2 0
576.b5	[0,0,0,24,56]	6 2 0
576.b6	[0,0,0,564,-37744]	6 2 0
576.c1	[0,0,0,-396,-3024]	6 2 0
576.c2	[0,0,0,-396,3024]	6 2 0
576.c3	[0,0,0,-36,0]	6 2 0
576.c4	[0,0,0,9,0]	6 2 0
576.d1	[0,0,0,-13836,626416]	6 2 0
576.d2	[0,0,0,-2316,-42896]	6 2 0
576.d3	[0,0,0,-876,9520]	6 2 0
576.d4	[0,0,0,-156,-560]	6 2 0
576.d5	[0,0,0,24,-56]	6 2 0
576.d6	[0,0,0,564,37744]	6 2 0
576.e1	[0,0,0,-540,-4752]	6 2 0
576.e2	[0,0,0,-60,176]	6 2 0
576.e3	[0,0,0,0,-216]	6 2 0
576.e4	[0,0,0,0,8]	6 2 0
576.f1	[0,0,0,-540,4752]	6 2 0
576.f2	[0,0,0,-60,-176]	6 2 0
576.f3	[0,0,0,0,-8]	6 2 0
576.f4	[0,0,0,0,216]	6 2 0
576.g1	[0,0,0,-1164,-15280]	6 2 0
576.g2	[0,0,0,-84,-160]	6 2 0
576.g3	[0,0,0,-39,92]	6 2 0
576.g4	[0,0,0,276,-1168]	6 2 0
576.h1	[0,0,0,-1164,15280]	6 2 0
576.h2	[0,0,0,-84,160]	6 2 0
576.h3	[0,0,0,-39,-92]	6 2 0
576.h4	[0,0,0,276,1168]	6 2 0
576.i1	[0,0,0,-3,0]	6 2 0
576.i2	[0,0,0,12,0]	6 2 0
588.a1	[0,-1,0,131,-167]	2 1 2
588.b1	[0,-1,0,-44,120]	2 1 2
588.b2	[0,-1,0,-9,-6]	2 1 2
588.c1	[0,-1,0,-89588,10350936]	2 1 2
588.c2	[0,-1,0,-5553,165894]	2 1 2
588.c3	[0,-1,0,-1388,6840]	2 1 2
588.c4	[0,-1,0,327,666]	2 1 2
588.d1	[0,1,0,-1780,28244]	2 1 2
588.d2	[0,1,0,-65,804]	2 1 2
588.e1	[0,1,0,-2172,-36828]	2 1 2
588.e2	[0,1,0,-457,2960]	2 1 2
588.f1	[0,1,0,6403,44463]	2 1 2
648.a1	[0,0,0,-3,-1]	3 4 0
648.b1	[0,0,0,-3,14]	3 4 0
648.c1	[0,0,0,-27,27]	3 4 0
648.d1	[0,0,0,-27,-378]	3 4 0
672.a1	[0,-1,0,-1505,-17199]	5 1 1
672.a2	[0,-1,0,210,-1764]	5 1 1
672.b1	[0,-1,0,-224,1368]	5 1 1
672.b2	[0,-1,0,-49,-95]	5 1 1
672.b3	[0,-1,0,-14,24]	5 1 1
672.b4	[0,-1,0,16,84]	5 1 1
672.c1	[0,-1,0,-33,81]	5 1 1
672.c2	[0,-1,0,2,4]	5 1 1
672.d1	[0,-1,0,-337,2497]	5 1 1
672.d2	[0,-1,0,-112,-392]	5 1 1
672.d3	[0,-1,0,-22,40]	5 1 1
672.d4	[0,-1,0,48,180]	5 1 1
672.e1	[0,1,0,-1505,17199]	5 1 1
672.e2	[0,1,0,210,1764]	5 1 1
672.f1	[0,1,0,-224,-1368]	5 1 1
672.f2	[0,1,0,-49,95]	5 1 1
672.f3	[0,1,0,-14,-24]	5 1 1
672.f4	[0,1,0,16,-84]	5 1 1
672.g1	[0,1,0,-33,-81]	5 1 1
672.g2	[0,1,0,2,-4]	5 1 1
672.h1	[0,1,0,-337,-2497]	5 1 1
672.h2	[0,1,0,-112,392]	5 1 1
672.h3	[0,1,0,-22,-40]	5 1 1
672.h4	[0,1,0,48,-180]	5 1 1
756.a1	[0,0,0,-999,-13554]	2 3 1
756.a2	[0,0,0,81,54]	2 3 1
756.b1	[0,0,0,-264,1636]	2 3 1
756.b2	[0,0,0,-24,-44]	2 3 1
756.c1	[0,0,0,-48,-124]	2 3 1
756.d1	[0,0,0,-432,3348]	2 3 1
756.e1	[0,0,0,-2376,-44172]	2 3 1
756.e2	[0,0,0,-216,1188]	2 3 1
756.f1	[0,0,0,-111,502]	2 3 1
756.f2	[0,0,0,9,-2]	2 3 1
768.a1	[0,-1,0,-2589,-49851]	8 1 0
768.a2	[0,-1,0,-159,-765]	8 1 0
768.a3	[0,-1,0,-29,69]	8 1 0
768.a4	[0,-1,0,1,3]	8 1 0
768.b1	[0,-1,0,-23,51]	8 1 0
768.b2	[0,-1,0,-13,85]	8 1 0
768.c1	[0,-1,0,-93,-315]	8 1 0
768.c2	[0,-1,0,-3,-9]	8 1 0
768.d1	[0,-1,0,-647,6555]	8 1 0
768.d2	[0,-1,0,-637,6757]	8 1 0
768.d3	[0,-1,0,-7,-5]	8 1 0
768.d4	[0,-1,0,3,-27]	8 1 0
768.e1	[0,1,0,-2589,49851]	8 1 0
768.e2	[0,1,0,-159,765]	8 1 0
768.e3	[0,1,0,-29,-69]	8 1 0
768.e4	[0,1,0,1,-3]	8 1 0
768.f1	[0,1,0,-93,315]	8 1 0
768.f2	[0,1,0,-3,9]	8 1 0
768.g1	[0,1,0,-23,-51]	8 1 0
768.g2	[0,1,0,-13,-85]	8 1 0
768.h1	[0,1,0,-647,-6555]	8 1 0
768.h2	[0,1,0,-637,-6757]	8 1 0
768.h3	[0,1,0,-7,5]	8 1 0
768.h4	[0,1,0,3,27]	8 1 0
784.a1	[0,0,0,-343,2401]	4 0 2
784.b1	[0,1,0,-2140728,-1206278060]	4 0 2
784.b2	[0,1,0,-133688,-18913196]	4 0 2
784.b3	[0,1,0,-27848,-1475468]	4 0 2
784.b4	[0,1,0,-8248,285396]	4 0 2
784.b5	[0,1,0,-408,6292]	4 0 2
784.b6	[0,1,0,3512,-133260]	4 0 2
784.c1	[0,-1,0,-800,8359]	4 0 2
784.d1	[0,-1,0,-6974,226507]	4 0 2
