label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,11]
726.b2	[1,1,0,-35,-51]	1 1 2
726.c1	[1,1,0,-42594,3365850]	1 1 2
726.c2	[1,1,0,-2664,51660]	1 1 2
726.c3	[1,1,0,-1454,100302]	1 1 2
726.c4	[1,1,0,-244,-128]	1 1 2
726.d1	[1,0,1,-1217868,517205302]	1 1 2
726.d2	[1,0,1,-1216658,518284622]	1 1 2
726.d3	[1,0,1,-5448,-113258]	1 1 2
726.d4	[1,0,1,13912,-732778]	1 1 2
726.e1	[1,0,1,-14,20]	1 1 2
726.f1	[1,1,1,179,1475]	1 1 2
726.g1	[1,1,1,-57538,5285303]	1 1 2
726.g2	[1,1,1,-4298,46487]	1 1 2
726.h1	[1,0,0,-1636,-28588]	1 1 2
726.i1	[1,0,0,-9743,367929]	1 1 2
726.i2	[1,0,0,-4903,734801]	1 1 2
726.i3	[1,0,0,-668,-6324]	1 1 2
726.i4	[1,0,0,542,-26410]	1 1 2
768.a1	[0,-1,0,-2589,-49851]	8 1 0
768.a2	[0,-1,0,-159,-765]	8 1 0
768.a3	[0,-1,0,-29,69]	8 1 0
768.a4	[0,-1,0,1,3]	8 1 0
768.b1	[0,-1,0,-23,51]	8 1 0
768.b2	[0,-1,0,-13,85]	8 1 0
768.c1	[0,-1,0,-93,-315]	8 1 0
768.c2	[0,-1,0,-3,-9]	8 1 0
768.d1	[0,-1,0,-647,6555]	8 1 0
768.d2	[0,-1,0,-637,6757]	8 1 0
768.d3	[0,-1,0,-7,-5]	8 1 0
768.d4	[0,-1,0,3,-27]	8 1 0
768.e1	[0,1,0,-2589,49851]	8 1 0
768.e2	[0,1,0,-159,765]	8 1 0
768.e3	[0,1,0,-29,-69]	8 1 0
768.e4	[0,1,0,1,-3]	8 1 0
768.f1	[0,1,0,-93,315]	8 1 0
768.f2	[0,1,0,-3,9]	8 1 0
768.g1	[0,1,0,-23,-51]	8 1 0
768.g2	[0,1,0,-13,-85]	8 1 0
768.h1	[0,1,0,-647,-6555]	8 1 0
768.h2	[0,1,0,-637,-6757]	8 1 0
768.h3	[0,1,0,-7,5]	8 1 0
768.h4	[0,1,0,3,27]	8 1 0
792.a1	[0,0,0,-72147,7458910]	3 2 1
792.a2	[0,0,0,-71787,7537030]	3 2 1
792.b1	[0,0,0,-4251,-106666]	3 2 1
792.b2	[0,0,0,-291,-1330]	3 2 1
792.b3	[0,0,0,-111,434]	3 2 1
792.b4	[0,0,0,789,-8890]	3 2 1
792.c1	[0,0,0,-675,6318]	3 2 1
792.c2	[0,0,0,-135,-486]	3 2 1
792.d1	[0,0,0,-75,-234]	3 2 1
792.d2	[0,0,0,-15,18]	3 2 1
792.e1	[0,0,0,-75,-74]	3 2 1
792.e2	[0,0,0,285,-578]	3 2 1
792.f1	[0,0,0,-6339,-194258]	3 2 1
792.f2	[0,0,0,-939,6838]	3 2 1
792.f3	[0,0,0,-399,-2990]	3 2 1
792.f4	[0,0,0,6,-155]	3 2 1
792.g1	[0,0,0,-36,-108]	3 2 1
864.a1	[0,0,0,-216,-1296]	5 3 0
864.b1	[0,0,0,24,16]	5 3 0
864.c1	[0,0,0,24,-16]	5 3 0
864.d1	[0,0,0,-216,1296]	5 3 0
864.e1	[0,0,0,-3,6]	5 3 0
864.f1	[0,0,0,-3,-6]	5 3 0
864.g1	[0,0,0,-27,-162]	5 3 0
864.h1	[0,0,0,-27,162]	5 3 0
864.i1	[0,0,0,-24,48]	5 3 0
864.j1	[0,0,0,216,-432]	5 3 0
864.k1	[0,0,0,216,432]	5 3 0
864.l1	[0,0,0,-24,-48]	5 3 0
891.a1	[0,0,1,-81,-304]	0 4 1
891.b1	[1,-1,1,7,10]	0 4 1
891.c1	[1,-1,1,-38,-80]	0 4 1
891.c2	[1,-1,1,97,5698]	0 4 1
891.d1	[0,0,1,-324,-2248]	0 4 1
891.d2	[0,0,1,6,-15]	0 4 1
891.e1	[0,0,1,-36,83]	0 4 1
891.e2	[0,0,1,54,398]	0 4 1
891.f1	[1,-1,0,66,-343]	0 4 1
891.g1	[1,-1,0,-339,2492]	0 4 1
891.g2	[1,-1,0,876,-154729]	0 4 1
891.h1	[0,0,1,-9,11]	0 4 1
968.a1	[0,0,0,-484,-5324]	3 0 2
968.b1	[0,0,0,-11,22]	3 0 2
968.c1	[0,0,0,-1331,-29282]	3 0 2
968.d1	[0,1,0,15,-13]	3 0 2
968.e1	[0,1,0,1775,24451]	3 0 2
972.a1	[0,0,0,0,-972]	2 5 0
972.a2	[0,0,0,0,36]	2 5 0
972.b1	[0,0,0,0,-243]	2 5 0
972.b2	[0,0,0,0,9]	2 5 0
972.c1	[0,0,0,0,-12]	2 5 0
972.c2	[0,0,0,0,324]	2 5 0
972.d1	[0,0,0,0,-3]	2 5 0
972.d2	[0,0,0,0,81]	2 5 0
1056.a1	[0,-1,0,-10,16]	5 1 1
1056.a2	[0,-1,0,0,36]	5 1 1
1056.b1	[0,-1,0,-529,-4511]	5 1 1
1056.b2	[0,-1,0,-144,648]	5 1 1
1056.b3	[0,-1,0,-34,-56]	5 1 1
1056.b4	[0,-1,0,56,-380]	5 1 1
1056.c1	[0,-1,0,-129,-495]	5 1 1
1056.c2	[0,-1,0,6,-36]	5 1 1
1056.d1	[0,-1,0,-98,408]	5 1 1
1056.d2	[0,-1,0,-88,484]	5 1 1
1056.e1	[0,-1,0,-313632,-67500540]	5 1 1
1056.e2	[0,-1,0,-20817,-911007]	5 1 1
1056.e3	[0,-1,0,-19602,-1049760]	5 1 1
1056.e4	[0,-1,0,-18392,-1186248]	5 1 1
1056.f1	[0,1,0,-10,-16]	5 1 1
1056.f2	[0,1,0,0,-36]	5 1 1
1056.g1	[0,1,0,-129,495]	5 1 1
1056.g2	[0,1,0,6,36]	5 1 1
1056.h1	[0,1,0,-529,4511]	5 1 1
1056.h2	[0,1,0,-144,-648]	5 1 1
1056.h3	[0,1,0,-34,56]	5 1 1
1056.h4	[0,1,0,56,380]	5 1 1
1056.i1	[0,1,0,-98,-408]	5 1 1
1056.i2	[0,1,0,-88,-484]	5 1 1
1056.j1	[0,1,0,-313632,67500540]	5 1 1
1056.j2	[0,1,0,-20817,911007]	5 1 1
1056.j3	[0,1,0,-19602,1049760]	5 1 1
1056.j4	[0,1,0,-18392,1186248]	5 1 1
1089.a1	[0,0,1,33,-14]	0 2 2
1089.b1	[0,0,1,-8516343,-9565943918]	0 2 2
1089.b2	[0,0,1,-11253,-832208]	0 2 2
1089.b3	[0,0,1,-363,6322]	0 2 2
1089.c1	[1,-1,1,-32693,-2267130]	0 2 2
1089.c2	[1,-1,1,-23,168]	0 2 2
1089.d1	[1,-1,1,-18173,942274]	0 2 2
1089.d2	[1,-1,1,-1838,-5156]	0 2 2
1089.e1	[0,0,1,0,-40263]	0 2 2
1089.e2	[0,0,1,0,1087094]	0 2 2
1089.f1	[0,0,1,0,-817]	0 2 2
1089.f2	[0,0,1,0,30]	0 2 2
1089.g1	[0,0,1,-7986,281839]	0 2 2
1089.g2	[0,0,1,-66,-212]	0 2 2
1089.h1	[1,-1,0,-2019,-34226]	0 2 2
1089.h2	[1,-1,0,-204,259]	0 2 2
1089.i1	[1,-1,0,-2745,-215726]	0 2 2
1089.i2	[1,-1,0,-270,1777]	0 2 2
1089.j1	[1,-1,0,-159561,24548134]	0 2 2
1089.j2	[1,-1,0,-12546,173047]	0 2 2
1089.j3	[1,-1,0,-7101,-226616]	0 2 2
1089.j4	[1,-1,0,47349,1311052]	0 2 2
1089.k1	[0,0,1,3993,18301]	0 2 2
1152.a1	[0,0,0,-1272,-17440]	7 2 0
1152.a2	[0,0,0,-57,-430]	7 2 0
1152.b1	[0,0,0,-1272,17440]	7 2 0
1152.b2	[0,0,0,-57,430]	7 2 0
1152.c1	[0,0,0,-21,-34]	7 2 0
1152.c2	[0,0,0,24,-160]	7 2 0
1152.d1	[0,0,0,-216,-864]	7 2 0
