1 1 2 0 2 1 1 2 3 1
1 3 3 2 2 3 5 0 5 1
1 5 4 3 3 4 6 1 1 6
5 4 4 5 7 2 2 7 8 1
1 8 7 3 3 7 8 3 3 8
9 2 2 9 7 5 5 7 11 0
7 6 6 7 10 3 3 10 9 5
5 9 12 1 1 12 11 3 3 11
11 4 4 11 9 7 7 9 13 2
2 13 14 1 1 14 11 6 6 11
12 5 5 12 15 1 1 15 10 9
9 10 12 7 7 12 13 6 6 13
17 0 17 1 1 17 16 3 3 16
11 10 10 11 13 8 8 13 17 3
3 17 13 9 9 13 17 4 4 17
15 7 7 15 12 11 11 12 15 8
8 15 20 1 1 20 13 11 11 13
18 5 5 18 17 7 7 17 21 1
1 21 21 2 2 21 18 7 7 18
17 9 9 17 23 0 21 4 4 21
14 13 13 14 21 5 5 21 19 8
8 19 24 1 1 24 23 3 3 23
19 9 9 19 22 5 5 22 15 14
14 15 18 11 11 18 20 9 9 20
21 8 8 21 19 11 11 19 25 3
3 25 18 13 13 18 19 12 12 19
23 7 7 23 21 10 10 21 27 1
1 27 17 15 15 17 27 2 2 27
25 6 6 25 19 14 14 19 20 13
13 20 29 0 27 4 4 27 23 10
10 23 28 3 3 28 21 13 13 21
26 7 7 26 18 17 17 18 29 3
3 29 27 7 7 27 26 9 9 26
23 13 13 23 27 8 8 27 25 11
11 25 21 16 16 21 22 15 15 22
29 6 6 29 31 3 3 31 25 12
12 25 21 17 17 21 29 7 7 29
28 9 9 28 33 1 1 33 32 3
3 32 23 16 16 23 25 14 14 25
21 19 19 21 28 11 11 28 29 10
10 29 33 4 4 33 27 13 13 27
33 5 5 33 26 15 15 26 32 7
7 32 27 14 14 27 31 9 9 31
23 19 19 23 35 4 4 35 25 18
18 25 31 11 11 31 28 15 15 28
37 2 2 37 23 21 21 23 30 13
13 30 35 6 6 35 38 1 1 38
37 3 3 37 26 19 19 26 34 9
9 34 28 17 17 28 38 3 3 38
37 5 5 37 36 7 7 36 32 13
13 32 35 9 9 35 37 6 6 37
24 23 23 24 26 21 21 26 27 20
20 27 41 0 39 4 4 39 30 17
17 30 41 1 1 41 39 5 5 39
33 14 14 33 29 19 19 29 38 7
