Each row is one curve; I list the [a1,a2,a3,a4,a6] Weierstrass form,
the conductor, and the rank, delimited by tabs.

[0,0,0,-6544,7375129]	N = 5869909161402284	8
[0,1,0,9910,9815689]	N = 10414125008969212	8
[0,0,0,-6112,12325825]	N = 16404350717356652	8
[0,1,0,-3405,15280204]	N = 25219455152852332	8
[0,1,0,-6790,15636249]	N = 26407802107070812	8
[0,0,0,-2161,16420585]	N = 29120484600971804	8
[0,-1,0,3813,20136519]	N = 29198793157130496	8
[0,0,0,-3796,16626289]	N = 29853941296006892	8
[0,1,0,-9870,19562929]	N = 41331002680732252	8
[0,1,0,9055,20995144]	N = 47604166894049452	8
[0,0,0,-9676,21929881]	N = 51924830868524972	8
[0,0,0,1268,23294305]	N = 58603494326300012	8
[0,0,0,488,23503225]	N = 59659373082695852	8
[0,0,0,9383,23635585]	N = 60346432228118492	8
[0,0,0,2603,23782525]	N = 61085999691131132	8
[0,0,0,5003,24334045]	N = 63953744176859132	8
[0,0,0,-6097,27074545]	N = 79163720250963932	8
[0,0,0,8519,29302729]	N = 92744084138921372	8
[0,1,0,-5945,583879]	N = 2106671822272	7
[0,0,0,-9217,300985]	N = 2744269156708	7
[0,0,0,-5947,982090]	N = 3150026885776	7
[0,0,0,7901,16916446]	N = 3773661536782	7
[0,0,0,2348,843760]	N = 4818478596992	7
[0,0,0,-7399,677386]	N = 5384379721048	7
[0,1,0,-9690,430969]	N = 5801960546812	7
[0,1,0,-9952,1027716]	N = 6189683683504	7
[0,0,0,-8677,1199125]	N = 6297416336164	7
[0,-1,0,-8402,516849]	N = 6349119090708	7
[0,0,0,-3367,705610]	N = 6645112609624	7
[0,0,0,-8029,40069]	N = 8108014660036	7
[0,1,0,-9025,1058064]	N = 8448591469084	7
[0,0,0,-2527,808930]	N = 8801691081784	7
[0,0,0,-9517,206725]	N = 9176371495108	7
[0,1,0,-9325,459924]	N = 10179922523692	7
[0,1,0,-5550,344569]	N = 10224912017692	7
[0,0,0,3701,1262794]	N = 10814572714544	7
[0,0,0,-9412,1383040]	N = 12077628558272	7
[0,1,0,9098,36969]	N = 12172245070684	7
[0,0,0,-8467,1384930]	N = 12339709974512	7
[0,1,0,7423,1941391]	N = 12892448229152	7
[0,0,0,-1939,15908014]	N = 13345162879018	7
[0,0,0,-6916,417049]	N = 13491632454572	7
[0,1,0,8575,1896784]	N = 13706149453148	7
[0,0,0,-2044,360361]	N = 13888250215724	7
[0,0,0,-4732,1091380]	N = 15868072887064	7
[0,1,0,-9925,12282579]	N = 15904495023883	7
[0,1,0,-4876,2498640]	N = 16832202186040	7
[0,1,0,-8332,1161456]	N = 17141441472728	7
[0,0,0,-9916,552721]	N = 17393877018092	7
[0,0,0,-9417,1254625]	N = 17404387105788	7
[0,-1,0,-5217,3941361]	N = 17437028738784	7
[0,0,0,7028,1128340]	N = 17881805572504	7
[0,0,0,-7204,1183876]	N = 18173351324248	7
[0,-1,0,-9697,4083601]	N = 18578597085024	7
[0,0,0,-5167,1228690]	N = 20104772082424	7
[0,1,0,-5497,465264]	N = 20905207934764	7
[0,0,0,-6232,482665]	N = 21287677133612	7
[0,-1,0,5738,749641]	N = 21341387208948	7
[0,0,0,-1092,3773540]	N = 21359116826136	7
[0,0,0,-4,1267876]	N = 21701378943448	7
[0,0,0,-5356,473425]	N = 21747834379244	7
[0,0,0,564,1405361]	N = 23700793428108	7
[0,-1,0,-3792,4629024]	N = 24084092081904	7
[0,-1,0,-4529,4686273]	N = 24674896204512	7
[0,-1,0,2328,9950976]	N = 24759808686672	7
[0,1,0,1660,1357504]	N = 24866899804664	7
[0,1,0,-6820,5941824]	N = 25071128772776	7
[0,1,0,-785,1379059]	N = 25683128322584	7
[0,1,0,-3280,1954404]	N = 25776499933552	7
[0,1,0,-7557,2172916]	N = 26537154308836	7
[0,0,0,716,3771364]	N = 27430535828584	7
[0,-1,0,1943,3522169]	N = 27925476521088	7
[0,1,0,-2081,3239875]	N = 28349865069880	7
[0,1,0,3743,5992611]	N = 28512160599064	7
[0,1,0,-3361,6503535]	N = 28555818005920	7
[0,-1,0,8563,19381209]	N = 29159605636212	7
[0,0,0,-7648,1199353]	N = 29638961100220	7
[0,1,0,7768,2139076]	N = 31279560204784	7
[0,0,0,-9804,23814484]	N = 31499446751496	7
[0,1,0,3295,6137119]	N = 31772291140544	7
